,repo_name,repo_owner,git_url,description,size,watchers_count,forks_count,open_issues
30,pFUnit,Goddard-Fortran-Ecosystem,https://github.com/Goddard-Fortran-Ecosystem/pFUnit,Parallel Fortran Unit Testing Framework,12186,66,11,18
31,adversarial,tabacof,https://github.com/tabacof/adversarial,Exploring the Space of Adversarial Images,4200,65,21,1
32,ulmBLAS,michael-lehn,https://github.com/michael-lehn/ulmBLAS,ulmBLAS,3988,65,25,1
33,climt,CliMT,https://github.com/CliMT/climt,"The official home of climt, a Python based climate modelling toolkit.",69462,65,18,27
34,ftl,SCM-NV,https://github.com/SCM-NV/ftl,The Fortran Template Library,1171,63,10,3
35,Illustrate,ccsb-scripps,https://github.com/ccsb-scripps/Illustrate,Biomolecular Illustration Tool,12594,60,11,1
36,fgsl,reinh-bader,https://github.com/reinh-bader/fgsl,Fortran interface to the GNU Scientific Library,8402,59,11,3
37,tcp-client-server,modern-fortran,https://github.com/modern-fortran/tcp-client-server,A minimal Fortran TCP client and server,5,58,0,1
38,PyHSPF,djlampert,https://github.com/djlampert/PyHSPF,"Python extensions to the Hydrological Simulation Program in Fortran (HSPF), including classes for gathering input data, building input files, performing simulations, postprocessing results, calibrating hydrology process parameters, and forecasting climate and land use change effects on water resources",69733,58,36,4
39,BoxLib,BoxLib-Codes,https://github.com/BoxLib-Codes/BoxLib, Block-Structured AMR Framework,21810,57,38,4
40,flexi,flexi-framework,https://github.com/flexi-framework/flexi,Open Source High-Order Unstructured Discontinuous Galerkin Fluid Dynamics Solver,61738,57,36,0
41,spacepy,spacepy,https://github.com/spacepy/spacepy,"Space Science library for Python - contains superposed epoch classes, drift shell tracing, access to magnetic field models, streamline tracing, bootstrap confidence limits, time and coordinate conversions, etc.",88851,56,26,65
42,jburkardt-f,johannesgerer,https://github.com/johannesgerer/jburkardt-f,An official Git Mirror of John Burkardt's great collection of FORTRAN 90 Software,107155,56,38,1
43,wavelets,chris-torrence,https://github.com/chris-torrence/wavelets,Torrence & Compo Wavelet Analysis Software,3091,56,40,4
44,StringiFor,szaghi,https://github.com/szaghi/StringiFor,Strings Fortran Manipulator with steroids,15549,55,14,5
45,ABAQUS-US,jgomezc1,https://github.com/jgomezc1/ABAQUS-US,A variety of ABAQUS user element (UELs) and user material (UMATs) subroutines,407,54,47,0
46,cp2k-svn,cp2k,https://github.com/cp2k/cp2k-svn,ABANDONED Git mirror of the old SVN repository at Sourceforge. Check link for more info!,181123,54,40,0
47,fson,josephalevin,https://github.com/josephalevin/fson,Fortran 95 JSON Parser,222,54,19,5
48,seismic_cpml,geodynamics,https://github.com/geodynamics/seismic_cpml,"SEISMIC_CPML is a set of sixteen open-source Fortran90 programs to solve the two-dimensional or three-dimensional isotropic or anisotropic elastic, viscoelastic or poroelastic wave equation using a finite-difference method with Convolutional or Auxiliary Perfectly Matched Layer (C-PML or ADE-PML) conditions, developed by Dimitri Komatitsch and Roland Martin from CNRS, France.",1335,53,32,0
49,LaGriT,lanl,https://github.com/lanl/LaGriT,"Los Alamos Grid Toolbox (LaGriT) is a library of user callable tools that provide mesh generation, mesh optimization and dynamic mesh maintenance in two and three dimensions.",1026402,53,31,90
50,SciFortran,aamaricci,https://github.com/aamaricci/SciFortran,A library of fortran modules and routines for scientific calculations (*in a way* just like scipy for python),56093,53,19,0
51,SISSO,rouyang2017,https://github.com/rouyang2017/SISSO,A data-driven method based on compressed-sensing for identifying descriptors for materials properties and functions,523,53,21,11
52,bandup,band-unfolding,https://github.com/band-unfolding/bandup,BandUP: Band Unfolding code for Plane-wave based calculations,23741,53,29,5
53,how-to-optimize-gemm,tpoisonooo,https://github.com/tpoisonooo/how-to-optimize-gemm,ARM RowMajor sgemm optimization,10068,53,10,0
54,Incompact3d,xcompact3d,https://github.com/xcompact3d/Incompact3d,New version of our solver for the incompressible Navier-Stokes equations,149191,52,34,13
55,pyglow,timduly4,https://github.com/timduly4/pyglow,Upper atmosphere climatological models in Python,15953,51,33,24
56,chol-rev,imurray,https://github.com/imurray/chol-rev,Backpropagate derivatives through the Cholesky decomposition,39,49,9,0
57,atomistica,Atomistica,https://github.com/Atomistica/atomistica,Atomistica is a library of interatomic potentials that is compatible with ASE and LAMMPS,4395,49,14,6
58,lesgo,lesgo-jhu,https://github.com/lesgo-jhu/lesgo,The Large-Eddy Simulation framework from the Turbulence Research Group at Johns Hopkins University,16163,49,31,1
59,pypropack,jakevdp,https://github.com/jakevdp/pypropack,A python wrapper for the PROPACK library,201,48,15,0
60,CaNS,p-costa,https://github.com/p-costa/CaNS,"A code for fast, massively-parallel direct numerical simulations (DNS) of canonical flows",405,48,24,1
61,geos-chem,geoschem,https://github.com/geoschem/geos-chem,Source code repository for the GEOS-Chem model of atmospheric chemistry and composition.,72017,48,48,39
62,NJOY2016,njoy,https://github.com/njoy/NJOY2016,Nuclear data processing with legacy NJOY,245811,47,37,38
63,clfortran,cass-support,https://github.com/cass-support/clfortran,Open source implementation of a Fortran interface to Khronos OpenCL API,38,46,9,1
64,ktransit,mrtommyb,https://github.com/mrtommyb/ktransit,A simple exoplanet transit modeling tool in python,345,46,21,5
65,numerical-methods-fortran,planelles20,https://github.com/planelles20/numerical-methods-fortran,"Solving linear, nonlinear equations, ordinary differential equations, ... using numerical methods in fortran",207,46,9,0
66,FEconv,victorsndvg,https://github.com/victorsndvg/FEconv,"Program feconv is an utility to convert between several mesh and FE field formats, like ANSYS mesh files (.msh), MD Nastran input files (.bdf), I-Deas Universal (.unv), VTK files (.vtk), etc. If you use a Modulef format to store an intermediate mesh (.mfm).  It can transform the FE type of a mesh composed of trangles or tetrahedra, to Lagrange P1 or P2, Raviart-Thomas (face) or Whitney (edge) finite elements.  It also uses third-party code to perform bandwidth optimization (CutlHill-McKee optimization).",59548,46,17,2
67,tsunami,modern-fortran,https://github.com/modern-fortran/tsunami,A parallel shallow water equations solver,127,45,9,1
68,hande,hande-qmc,https://github.com/hande-qmc/hande,Open source stochastic quantum chemistry,99391,45,15,2
69,CFD,liruipengyu,https://github.com/liruipengyu/CFD,Basic Computational Fluid Dynamics (CFD) schemes implemented in FORTRAN using Finite-Volume and Finite-Difference Methods. Sample simulations and figures are provided.,7947,45,25,0
70,fox,andreww,https://github.com/andreww/fox,A Fortran XML library,10306,45,44,30
71,fates,NGEET,https://github.com/NGEET/fates,repository for the Functionally Assembled Terrestrial Ecosystem Simulator (FATES),42898,45,33,156
72,q-e_old,QEF,https://github.com/QEF/q-e_old,Official mirror of Quantum ESPRESSO,365548,45,45,0
73,qe-gpu,fspiga,https://github.com/fspiga/qe-gpu,GPU-accelerated Quantum ESPRESSO using CUDA FORTRAN,170458,45,16,6
74,modflow6,MODFLOW-USGS,https://github.com/MODFLOW-USGS/modflow6,MODFLOW 6 Repository,7725,45,31,28
75,QuickPIC-OpenSource,UCLA-Plasma-Simulation-Group,https://github.com/UCLA-Plasma-Simulation-Group/QuickPIC-OpenSource,Open source repository for QuickPIC,3938,43,22,3
76,atomsk,pierrehirel,https://github.com/pierrehirel/atomsk,Atomsk: A Tool For Manipulating And Converting Atomic Data Files - ,3808,43,32,0
77,FortranPatterns,farhanjk,https://github.com/farhanjk/FortranPatterns,Popular design patterns implemented in Fortran.,316,43,15,0
78,python-nufft,dfm,https://github.com/dfm/python-nufft,Python bindings to a subset of the NUFFT algorithm,113,42,9,4
79,coretran,leonfoks,https://github.com/leonfoks/coretran,"An easy to follow library to make Fortran easier in general with wrapped interfaces, sorting routines, kD-Trees, and other algorithms to handle scientific data and concepts. The library contains core fortran routines and object-oriented classes.",5139,42,3,5
80,Slycot,python-control,https://github.com/python-control/Slycot,Python wrapper for the Subroutine Library in Systems and Control Theory (SLICOT),2087,42,24,17
81,tennessee-eastman-profBraatz,camaramm,https://github.com/camaramm/tennessee-eastman-profBraatz,"The Fortran 77 codes for the open-loop  and the closed-loop simulations for the Tennessee Eastman process (TEP) as well as the training and testing data files used for evaluating the data-driven methods (PCA, PLS, FDA, and CVA).",4497,41,28,2
82,rapid,c-h-david,https://github.com/c-h-david/rapid,Routing Application for Parallel computatIon of Discharge (RAPID),734,41,15,0
83,fv3gfs,NOAA-EMC,https://github.com/NOAA-EMC/fv3gfs,The public home of NOAA EMC's FV3GFS Modeling System.,33771,41,33,1
84,GPSPACE,CGS-GIS,https://github.com/CGS-GIS/GPSPACE,NRCan-CGS GPSPACE software / Logiciel GPSPACE de LGC-RNCan,510,41,30,0
85,PIC-skeleton-codes,UCLA-Plasma-Simulation-Group,https://github.com/UCLA-Plasma-Simulation-Group/PIC-skeleton-codes,"A fully-functional but succinct Particle-In-Cell Plasma Simulation codebase with several parallel implementations (MPI, OpenMP, SSE, CUDA). This code is meant to highlight the core PIC algorithms, especially issues around parallelization, by implementing a minimal number of features in favor of clarity, ease of use, and extensibility.",19943,41,22,1
86,packmol,m3g,https://github.com/m3g/packmol,Packmol,7033,41,22,2
87,fdict,zerothi,https://github.com/zerothi/fdict,Fortran type-free variable and type-free dictionary,1630,41,10,3
88,adflow,mdolab,https://github.com/mdolab/adflow,ADflow is a finite volume RANS solver tailored for gradient-based aerodynamic design optimization.,23670,40,36,9
89,icar,NCAR,https://github.com/NCAR/icar,The Intermediate Complexity Atmospheric Research model (ICAR),13618,40,37,9
90,aoslib,PyAOS,https://github.com/PyAOS/aoslib,A collection of standard atmospheric and oceanic sciences routines.,284,40,29,7
91,lbfgsb-matlab,pcarbo,https://github.com/pcarbo/lbfgsb-matlab,A MATLAB interface for L-BFGS-B,177,39,22,4
92,kmos,mhoffman,https://github.com/mhoffman/kmos,kMC on steroids: A vigorous attempt to make lattice kinetic Monte Carlo modelling easier,16446,39,29,21
93,Tinker,TinkerTools,https://github.com/TinkerTools/Tinker,Tinker: Software Tools for Molecular Design,79484,39,35,7
94,pytmatrix,jleinonen,https://github.com/jleinonen/pytmatrix,Python code for T-matrix scattering calculations,168,39,28,2
95,bspline,NCAR,https://github.com/NCAR/bspline,Cubic B-Spline implementation in C++ templates,1396,39,5,0
96,MPM3D-F90,xzhang66,https://github.com/xzhang66/MPM3D-F90,"An open source MPM code companion to the book ""X Zhang, Z Chen, Y Liu. The Material Point Method - A Continuum-Based Particle Method for Extreme Loading Cases. Academic Press, 2016""",5549,38,22,0
97,Nyx,AMReX-Astro,https://github.com/AMReX-Astro/Nyx,"An adaptive mesh, N-body hydro cosmological simulation code",273356,37,19,5
98,h5fortran,scivision,https://github.com/scivision/h5fortran,"Easy, thin, robust HDF5 polymorphic Fortran: h5write() h5read()",1538,37,7,0
99,IAMR,AMReX-Codes,https://github.com/AMReX-Codes/IAMR,"A parallel, adaptive mesh refinement (AMR) code that solves the variable-density incompressible Navier-Stokes equations.",31696,37,18,2
100,VASPsol,henniggroup,https://github.com/henniggroup/VASPsol,Solvation model for the plane wave DFT code VASP http://vaspsol.mse.ufl.edu/,2259,37,36,7
101,critic2,aoterodelaroza,https://github.com/aoterodelaroza/critic2,Analysis of quantum chemical interactions in molecules and solids.,245637,37,17,5
102,mercury,4xxi,https://github.com/4xxi/mercury,N-body fortran integrator,176,36,15,4
103,PolyChordLite,PolyChord,https://github.com/PolyChord/PolyChordLite,Public version of PolyChord: See polychord.co.uk for PolyChordPro,1364,36,9,10
104,HOS-ocean,LHEEA,https://github.com/LHEEA/HOS-ocean,High-Order Spectral method for oceanic simulations,346,36,18,6
105,pyOpt,madebr,https://github.com/madebr/pyOpt,Fork of http://www.pyopt.org/ (python3 compatible),972,35,22,5
106,aenet,atomisticnet,https://github.com/atomisticnet/aenet,Atomic interaction potentials based on artificial neural networks,28769,35,21,3
107,magic,magic-sph,https://github.com/magic-sph/magic,MagIC is a high-performance code that solves the magneto-hydrodynamics equations in rotating spherical shells,73760,35,9,0
108,dbcsr,cp2k,https://github.com/cp2k/dbcsr,DBCSR: Distributed Block Compressed Sparse Row matrix library,27504,35,15,54
109,PoisFFT,LadaF,https://github.com/LadaF/PoisFFT,Free parallel fast Poisson solver. Requires FFTW3 and optionally PFFT.,218,34,10,5
110,CompDam_DGD,nasa,https://github.com/nasa/CompDam_DGD,,812,34,39,4
111,fortran_tools,arktools,https://github.com/arktools/fortran_tools,Tools for updating old Fortran programs (written in Python),173,34,20,3
112,Mohid,Mohid-Water-Modelling-System,https://github.com/Mohid-Water-Modelling-System/Mohid,Official MOHID Water Modelling System repository,525193,34,34,10
113,spral,ralna,https://github.com/ralna/spral,Sparse Parallel Robust Algorithms Library,3604,34,10,17
114,cfast,firemodels,https://github.com/firemodels/cfast,Consolidated Model of Fire and Smoke Transport,642732,33,45,4
115,MachUp,usuaero,https://github.com/usuaero/MachUp,Numerical Lifting-Line Algorithm,1888,33,14,5
116,sigma,danshapero,https://github.com/danshapero/sigma,Fortran 2003 library for sparse matrix algebra,4914,33,9,2
117,float,wrathematics,https://github.com/wrathematics/float,Single precision (float) matrices for R.,1330,33,6,6
118,slsqp,jacobwilliams,https://github.com/jacobwilliams/slsqp,Modern Fortran Edition of the SLSQP Optimizer,3997,33,6,1
119,yambo,yambo-code,https://github.com/yambo-code/yambo,This is the official GPL repository of the yambo code,7174,32,12,14
120,GALAHAD,ralna,https://github.com/ralna/GALAHAD,A library of modern Fortran modules for nonlinear optimization,32927,32,4,0
121,node.fortran,IonicaBizau,https://github.com/IonicaBizau/node.fortran,:rocket: Execute Node.js in your Fortran programs.,15,32,2,0
122,roms,kshedstrom,https://github.com/kshedstrom/roms,Regional Ocean Modeling System (with ice),65454,32,23,1
123,DSurfTomo,HongjianFang,https://github.com/HongjianFang/DSurfTomo,Direct inversion of surface dispersion data based on ray tracing,2565,32,26,2
124,PyDAS,jwallen,https://github.com/jwallen/PyDAS,"A Python wrapper for the DASSL, DASPK, and DASKR differential algebraic system solvers",783,32,7,9
125,RefactorF4Acc,wimvanderbauwhede,https://github.com/wimvanderbauwhede/RefactorF4Acc,An Automated Fortran Code Refactoring Tool to Facilitate Acceleration of Numerical Simulations,69472,32,4,3
126,fortran-csv-module,jacobwilliams,https://github.com/jacobwilliams/fortran-csv-module,Read and Write CSV Files Using Modern Fortran,39,32,9,5
127,i-CodeCNES,lequal,https://github.com/lequal/i-CodeCNES,i-Code CNES is a static code analysis tool to help developpers write code compliant with CNES coding rules.,35565,31,9,38
128,phasta,PHASTA,https://github.com/PHASTA/phasta,Parallel Hierarchic Adaptive Stabilized Transient Analysis of compressible and incompressible Navier Stokes equations ,2506,31,28,15
129,GFR,nasa,https://github.com/nasa/GFR,GFR (Glenn Flux Reconstruction) software (LEW-19709-1) has been approved for an open source release,6038,31,25,1
130,Slycot,avventi,https://github.com/avventi/Slycot,"Python wrapper for selected SLICOT routines, notably including solvers for Riccati, Lyapunov and Sylvester equations.",2348,31,22,4
131,OpenSWPC,tktmyd,https://github.com/tktmyd/OpenSWPC,A Seismic Wave Propagation Code by Parallel Finite Difference Method,50081,31,17,0
132,tracmass,TRACMASS,https://github.com/TRACMASS/tracmass,Lagrangian particle tracking code.,113935,31,27,12
133,glmnet-python,dwf,https://github.com/dwf/glmnet-python,"Wrappers of Jerome Friedman's coordinate-descent Fortran implementation of lasso/elastic net regression from the R ""glmnet"" package.",139,31,27,8
134,Rayleigh,geodynamics,https://github.com/geodynamics/Rayleigh,Rayleigh: Pseudo-spectral MHD,26019,31,25,9
135,PSNM,openmichigan,https://github.com/openmichigan/PSNM,"The book, ""Parallel Spectral Numerical Methods"", including example programs, etc.",743,31,31,0
136,kdtree2,jmhodges,https://github.com/jmhodges/kdtree2,A kd-tree implementation in C++ (and Fortran) by Matthew B. Kennel,1391,31,27,0
137,FLUSI,pseudospectators,https://github.com/pseudospectators/FLUSI,Fluid-Structure-Interaction / MHD Research Code. Relies on Fourier transforms for derivatives and the volume penalization method to include obstacles.,85337,31,21,9
138,pyranda,LLNL,https://github.com/LLNL/pyranda,"A Python driven, Fortran powered Finite Difference solver for arbitrary hyperbolic PDE systems.  This is the mini-app for the Miranda code.",2037,31,9,2
139,flogging,cmacmackin,https://github.com/cmacmackin/flogging,Fortran logging library,565,30,1,1
140,T-Flows,DelNov,https://github.com/DelNov/T-Flows,Program for Simulation of Turbulent Flows,85634,30,16,22
141,Ferret,NOAA-PMEL,https://github.com/NOAA-PMEL/Ferret,The Ferret program from NOAA/PMEL,126212,30,11,574
142,freeCappuccino,nikola-m,https://github.com/nikola-m/freeCappuccino,A three-dimensional unstructured finite volume code for fluid flow simulations.,28876,30,17,3
143,CONQUEST-release,OrderN,https://github.com/OrderN/CONQUEST-release,Files for CONQUEST public release ,37291,30,4,19
144,wrf-fire,openwfm,https://github.com/openwfm/wrf-fire,A coupled weather-fire forecasting model built on top of Weather Research and Forecasting (WRF).,112124,29,14,3
145,lbfgsb_wrapper,mkobos,https://github.com/mkobos/lbfgsb_wrapper,Java wrapper for the Fortran L-BFGS-B algorithm,90,29,13,1
146,truchas-release,truchas,https://github.com/truchas/truchas-release,Repository for public releases of Truchas mirrored from https://gitlab.com/truchas,153593,29,8,0
147,HAZ,abrahamson,https://github.com/abrahamson/HAZ,PSHA Code,7378,29,15,10
148,coarray-examples,ljdursi,https://github.com/ljdursi/coarray-examples,Simple coarray examples for teaching,152,29,4,1
149,SNAP,lanl,https://github.com/lanl/SNAP,SN Application Proxy,26076,29,21,3
150,CUTEst,ralna,https://github.com/ralna/CUTEst,The Constrained and Unconstrained Testing Environment with safe threads (CUTEst) for optimization software,1843,29,11,0
151,AFiD,PhysicsofFluids,https://github.com/PhysicsofFluids/AFiD,A highly parallel application for Rayleigh-Benard and Taylor-Couette flows,2657,29,19,1
152,Eigensolver_gpu,NVIDIA,https://github.com/NVIDIA/Eigensolver_gpu,GPU Eigensolver for symmetric/hermitian matrices.,70,29,11,0
153,riemann,clawpack,https://github.com/clawpack/riemann,One place for all Clawpack-style Riemann solvers,798,29,50,16
154,exciting,exciting,https://github.com/exciting/exciting,The EXCiT!NG code is a powerful open-source DFT package targeted to scientific developers and users that need a modern and adaptable platform for their research,54443,29,19,3
155,dftd4,dftd4,https://github.com/dftd4/dftd4,A Generally Applicable Atomic-Charge Dependent London Dispersion Correction ,664,28,15,3
156,UCNS3D,ucns3d-team,https://github.com/ucns3d-team/UCNS3D,Unstructured compressible CFD code ,31850,28,14,0
157,FrontISTR,FrontISTR,https://github.com/FrontISTR/FrontISTR,Open-Source Large-Scale Parallel FEM Program for Nonlinear Structural Analysis(オープンソース大規模並列FEM非線形構造解析プログラム): FrontISTR,238776,28,18,1
158,PeleC,AMReX-Combustion,https://github.com/AMReX-Combustion/PeleC,An AMR code for compressible reacting flow simulations,10777,28,15,2
159,FIAT,Fortran-FOSS-Programmers,https://github.com/Fortran-FOSS-Programmers/FIAT,Fortran Implementation of Abstract Types,1079,28,7,4
160,finterp,jacobwilliams,https://github.com/jacobwilliams/finterp,Multidimensional Linear Interpolation with Modern Fortran,641,27,4,0
161,oo_hdf,rjgtorres,https://github.com/rjgtorres/oo_hdf,Object oriented fortran HDF5 module,68,27,4,1
162,NumDiff,jacobwilliams,https://github.com/jacobwilliams/NumDiff,Modern Fortran Numerical Differentiation Library,146,27,2,1
163,fac,flexible-atomic-code,https://github.com/flexible-atomic-code/fac,FAC - Flexible Atomic Code by Ming Feng Gu,24922,27,27,15
164,quantum_package,LCPQ,https://github.com/LCPQ/quantum_package,Set of quantum chemistry programs and libraries,40575,27,37,0
165,PeleLM,AMReX-Combustion,https://github.com/AMReX-Combustion/PeleLM,An adaptive mesh hydrodynamics simulation code for low Mach number reacting flows,109158,27,17,3
166,complex_bessel,joeydumont,https://github.com/joeydumont/complex_bessel,A C++ library to evaluate Bessel functions of all kinds.,480,26,13,2
167,fortran-list,LadaF,https://github.com/LadaF/fortran-list,Generic list implementation in Fortran 2003. Uses unlimited polymorphics or parametric polymorphism.,128,26,4,0
168,MAESTRO,AMReX-Astro,https://github.com/AMReX-Astro/MAESTRO,A low Mach number stellar hydrodynamics code,100249,26,17,14
169,EnergyPlusRelease,NREL,https://github.com/NREL/EnergyPlusRelease,,14496,26,12,0
170,glmnet,cran,https://github.com/cran/glmnet,":exclamation: This is a read-only mirror of the CRAN R package repository.  glmnet — Lasso and Elastic-Net Regularized Generalized Linear Models. Homepage: https://glmnet.stanford.edu, https://dx.doi.org/10.18637/jss.v033.i01, https://dx.doi.org/10.18637/jss.v039.i05  ",9023,26,44,1
171,okada_wrapper,tbenthompson,https://github.com/tbenthompson/okada_wrapper,MATLAB and Python wrappers of the Okada Green's functions.,376,26,18,0
172,Computational-Fluid-Dynamics,xuaoxiqi,https://github.com/xuaoxiqi/Computational-Fluid-Dynamics,Sample codes for Computational Fluid Dynamics,6176,26,18,0
173,REAL,Dal-mzhang,https://github.com/Dal-mzhang/REAL,Rapid Earthquake Association and Location,11789,26,9,0
174,fortran-yaml,BoldingBruggeman,https://github.com/BoldingBruggeman/fortran-yaml,Lightweight YAML parser written in object-oriented Fortran,167,26,3,1
175,Scientific-Software-Design,sourceryinstitute,https://github.com/sourceryinstitute/Scientific-Software-Design,"Code examples from Rouson, Xia & Xu (Cambridge University Press, 2011)",550,26,3,0
176,WenOOF,Fortran-FOSS-Programmers,https://github.com/Fortran-FOSS-Programmers/WenOOF,WENO interpolation Object Oriented Fortran library,2809,25,13,11
177,ChiDG,nwukie,https://github.com/nwukie/ChiDG,"A Chimera-based, discontinuous Galerkin solver",24417,25,21,11
178,petaca,nncarlson,https://github.com/nncarlson/petaca,Petaca: A collection of foundational Fortran modules,1916,25,2,9
179,py-ncepbufr,JCSDA,https://github.com/JCSDA/py-ncepbufr,python interface to NCEP bufr library,56042,25,23,3
180,listings,modern-fortran,https://github.com/modern-fortran/listings,Code listings for Modern Fortran: Building Efficient Parallel Applications,59,25,3,0
181,FortranParser,jacopo-chevallard,https://github.com/jacopo-chevallard/FortranParser,"Fortran 2008 parser of mathematical expressions, based on Roland Schmehl ""fparser""",26,25,4,5
182,OptimizedModernFortran,afanfa,https://github.com/afanfa/OptimizedModernFortran,Collection of optimization techniques used in Modern Fortran,2198,25,0,2
183,MultiNest,farhanferoz,https://github.com/farhanferoz/MultiNest,MultiNest is a Bayesian inference tool which calculates the evidence and explores the parameter space which may contain multiple posterior modes and pronounced (curving) degeneracies in moderately high dimensions. ,274,24,4,3
184,pyslalib,scottransom,https://github.com/scottransom/pyslalib,f2py and numpy wrappers of the fortran version of the astro library SLALIB,408,24,15,0
185,PENF,szaghi,https://github.com/szaghi/PENF,Portability Environment for Fortran poor people,3740,24,13,3
186,VecFor,szaghi,https://github.com/szaghi/VecFor,Vector algebra class for Fortran poor people,2087,24,6,1
187,Molden2AIM,zorkzou,https://github.com/zorkzou/Molden2AIM,"Molden2AIM is a utility program which can be used to create AIM-WFN, AIM-WFX, and NBO-47 files from a Molden file.",9055,24,5,6
188,flist,jacobwilliams,https://github.com/jacobwilliams/flist,Modern Fortran Linked List,23,24,4,1
189,FPL,victorsndvg,https://github.com/victorsndvg/FPL,Fortran Parameter List. A fortran dictionary where to put the parameters of your application.,6144,24,9,5
190,Fortran,annefou,https://github.com/annefou/Fortran,Fortran materials,27556,24,6,0
191,RegESM,uturuncoglu,https://github.com/uturuncoglu/RegESM,Regional Earth System Model,14865,24,14,3
192,FisherExact,maclandrol,https://github.com/maclandrol/FisherExact,Fisher exact test for mxn contingency table in python,198,24,9,4
193,FiNeR,szaghi,https://github.com/szaghi/FiNeR,Fortran INI ParseR and generator,5033,24,3,6
194,SixTrack,SixTrack,https://github.com/SixTrack/SixTrack,SixTrack – 6D Tracking Code,658718,24,39,99
195,PyFerret,NOAA-PMEL,https://github.com/NOAA-PMEL/PyFerret,The PyFerret program and Python module from NOAA/PMEL,223213,24,11,37
196,psblas3,sfilippone,https://github.com/sfilippone/psblas3,,28914,24,7,3
